Date,QQQ,TLT
2014-06-13,84.15670776367188,80.87319946289062
2014-06-16,84.22965240478516,81.07511138916016
2014-06-17,84.27520751953125,80.43334197998047
2014-06-18,84.7492446899414,81.05352783203125
2014-06-19,84.69454956054688,80.01509857177734
2014-06-20,84.79417419433594,80.62085723876953
2014-06-23,84.81243896484375,80.36845397949219
2014-06-24,84.73018646240234,81.18325805664062
2014-06-25,85.26945495605469,81.39244079589844
2014-06-26,85.31513977050781,81.7818603515625
2014-06-27,85.6899185180664,81.6591796875
2014-06-30,85.83612823486328,81.86116027832031
2014-07-01,86.77759552001953,81.17573547363281
2014-07-02,86.92383575439453,80.30821228027344
2014-07-03,87.4722900390625,80.01900482177734
2014-07-07,87.20719909667969,80.60454559326172
2014-07-08,86.15608215332031,81.50830841064453
2014-07-09,86.79588317871094,81.57340240478516
2014-07-10,86.52166748046875,81.5950698852539
2014-07-11,87.07920837402344,82.11559295654297
2014-07-14,87.6002426147461,81.76140594482422
2014-07-15,87.29859161376953,81.5950698852539
2014-07-16,87.64591979980469,82.02885437011719
2014-07-17,86.48509979248047,83.0627670288086
2014-07-18,87.85613250732422,82.79525756835938
2014-07-21,87.74647521972656,83.20729064941406
2014-07-22,88.30402374267578,83.38084411621094
2014-07-23,88.87073516845703,83.2723617553711
2014-07-24,88.77018737792969,82.65060424804688
2014-07-25,88.42284393310547,83.62664031982422
2014-07-28,88.45028686523438,83.510986328125
2014-07-29,88.29486083984375,83.8145751953125
2014-07-30,88.64225006103516,82.65060424804688
2014-07-31,86.8507308959961,82.40482330322266
2014-08-01,86.53079986572266,83.0427474975586
2014-08-04,87.12493896484375,82.82524108886719
2014-08-05,86.45767974853516,83.09349060058594
2014-08-06,86.39370727539062,83.14420318603516
2014-08-07,86.1195297241211,83.91983032226562
2014-08-08,86.74103546142578,83.73859405517578
2014-08-11,87.25289154052734,83.73136138916016
2014-08-12,87.21633911132812,83.18765258789062
2014-08-13,88.1395034790039,83.73136138916016
2014-08-14,88.59650421142578,84.40554809570312
2014-08-15,89.02611541748047,85.32605743408203
2014-08-18,89.711669921875,84.47795867919922
2014-08-19,90.2143325805664,84.21697998046875
2014-08-20,90.2143325805664,84.07927703857422
2014-08-21,90.39712524414062,84.5504379272461
2014-08-22,90.53424835205078,85.02165985107422
2014-08-25,90.85416412353516,85.3405532836914
2014-08-26,90.9455337524414,85.06513977050781
2014-08-27,90.96383666992188,85.78999328613281
2014-08-28,90.86328887939453,86.23941802978516
2014-08-29,91.20148468017578,86.29742431640625
2014-09-02,91.4665756225586,84.80876159667969
2014-09-03,90.92729187011719,85.28101348876953
2014-09-04,90.84498596191406,84.24201965332031
2014-09-05,91.30206298828125,84.08223724365234
2014-09-08,91.47569274902344,84.11853790283203
2014-09-09,90.71707153320312,84.05315399169922
2014-09-10,91.4665756225586,83.52276611328125
2014-09-11,91.39341735839844,83.24671936035156
2014-09-12,90.92729187011719,82.37482452392578
2014-09-15,90.04981994628906,82.4984359741211
2014-09-16,90.83588409423828,82.16416931152344
2014-09-17,90.97296905517578,81.95344543457031
2014-09-18,91.65848541259766,82.21501922607422
2014-09-19,91.60169982910156,83.26123809814453
2014-09-22,90.74961853027344,83.36295318603516
2014-09-23,90.50225067138672,83.87882995605469
2014-09-24,91.47343444824219,83.4137954711914
2014-09-25,89.54938507080078,84.40190124511719
2014-09-26,90.50225067138672,84.27835845947266
2014-09-29,90.38316345214844,84.95410919189453
2014-09-30,90.51140594482422,84.47455596923828
2014-10-01,89.06381225585938,86.11260223388672
2014-10-02,89.06381225585938,85.36241149902344
2014-10-03,89.94338989257812,85.72657012939453
2014-10-06,89.7509994506836,85.77754974365234
2014-10-07,88.47743225097656,86.93568420410156
2014-10-08,90.19989013671875,86.95745849609375
2014-10-09,88.7431640625,86.57877349853516
2014-10-10,86.52595520019531,87.43821716308594
2014-10-13,85.16996765136719,87.96985626220703
2014-10-14,85.17913055419922,88.54528045654297
2014-10-15,84.62940216064453,89.24445343017578
2014-10-16,84.0980224609375,88.67639923095703
2014-10-17,85.2066421508789,88.18112182617188
2014-10-20,86.4801254272461,88.50157165527344
2014-10-21,88.75231170654297,87.79507446289062
2014-10-22,88.29420471191406,87.88978576660156
2014-10-23,89.6227035522461,87.1104507446289
2014-10-24,90.35565948486328,87.19783020019531
2014-10-27,90.4197769165039,87.35809326171875
2014-10-28,91.78492736816406,86.81179809570312
2014-10-29,91.44593811035156,87.00847625732422
2014-10-30,91.63833618164062,87.081298828125
2014-10-31,92.90270233154297,86.85552978515625
2014-11-03,93.17755889892578,86.85550689697266
2014-11-04,92.8660659790039,87.12572479248047
2014-11-05,92.8752212524414,87.00157928466797
2014-11-06,93.16838836669922,86.4393310546875
2014-11-07,93.0859375,87.43229675292969
2014-11-10,93.41577911376953,86.62915802001953
2014-11-11,93.708984375,86.68761444091797
2014-11-12,93.87388610839844,86.61457824707031
2014-11-13,94.27699279785156,86.81903076171875
2014-11-14,94.57017517089844,87.2425308227539
2014-11-17,94.28617858886719,87.02345275878906
2014-11-18,94.99165344238281,87.26438903808594
2014-11-19,94.56101989746094,86.70946502685547
2014-11-20,94.9824447631836,87.16219329833984
2014-11-21,95.16569519042969,87.68782806396484
2014-11-24,95.9078369140625,87.7608871459961
2014-11-25,96.0544204711914,88.49101257324219
2014-11-26,96.67744445800781,88.73191833496094
2014-11-28,97.12638092041016,89.43287658691406
2014-12-01,96.02693939208984,88.91107940673828
2014-12-02,96.41175079345703,88.04757690429688
2014-12-03,96.58580780029297,88.39154815673828
2014-12-04,96.54002380371094,89.13067626953125
2014-12-05,96.54918670654297,88.611083984375
2014-12-08,95.862060546875,89.69410705566406
2014-12-09,96.16437530517578,90.15513610839844
2014-12-10,94.65262603759766,90.81375122070312
2014-12-11,95.10157012939453,91.1869125366211
2014-12-12,94.06629180908203,92.42364501953125
2014-12-15,93.09510040283203,92.23338317871094
2014-12-16,91.60169982910156,93.37493133544922
2014-12-17,93.2691879272461,92.53339385986328
2014-12-18,95.51386260986328,90.88689422607422
2014-12-19,95.93414306640625,92.10899353027344
2014-12-22,96.17323303222656,92.23338317871094
2014-12-23,95.83299255371094,90.4039306640625
2014-12-24,95.91572570800781,90.89599609375
2014-12-26,96.59622955322266,91.23335266113281
2014-12-29,96.57785034179688,91.91529846191406
2014-12-30,95.93414306640625,92.16468811035156
2014-12-31,94.95011901855469,92.34068298339844
2015-01-02,94.66505432128906,93.3673095703125
2015-01-05,93.27644348144531,94.8339614868164
2015-01-06,92.02576446533203,96.54264068603516
2015-01-07,93.21208953857422,96.35196685791016
2015-01-08,94.99613189697266,95.07597351074219
2015-01-09,94.37081146240234,96.11730194091797
2015-01-12,93.38680267333984,96.66728210449219
2015-01-13,93.35919952392578,96.66728210449219
2015-01-14,92.84420776367188,97.400634765625
2015-01-15,91.63951110839844,98.93326568603516
2015-01-16,92.71549224853516,97.67195129394531
2015-01-20,93.451171875,98.96991729736328
2015-01-21,93.92937469482422,97.82593536376953
2015-01-22,95.66743469238281,97.47391510009766
2015-01-23,95.8789291381836,98.8305892944336
2015-01-26,95.76859283447266,98.52996063232422
2015-01-27,93.28562927246094,98.68394470214844
2015-01-28,92.80744171142578,100.29725646972656
2015-01-29,93.6994857788086,99.63724517822266
2015-01-30,92.97296905517578,101.404541015625
2015-02-02,93.7822494506836,101.02172088623047
2015-02-03,94.68347930908203,98.88346099853516
2015-02-04,94.60071563720703,99.05240631103516
2015-02-05,95.4191665649414,97.96493530273438
2015-02-06,94.83979797363281,96.23075103759766
2015-02-09,94.53630828857422,96.07648468017578
2015-02-10,96.00769805908203,95.31224822998047
2015-02-11,96.35717010498047,95.48863983154297
2015-02-12,97.47908782958984,95.172607421875
2015-02-13,98.31592559814453,94.19532775878906
2015-02-17,98.40789794921875,92.77718353271484
2015-02-18,98.54586029052734,93.32830047607422
2015-02-19,99.0332260131836,92.71101379394531
2015-02-20,99.6953353881836,92.98294830322266
2015-02-23,99.79650115966797,94.04839324951172
2015-02-24,99.87008666992188,95.28285217285156
2015-02-25,99.62178802490234,95.6943588256836
2015-02-26,100.12753295898438,94.38638305664062
2015-02-27,99.68616485595703,95.17996978759766
2015-03-02,100.58737182617188,93.40713500976562
2015-03-03,100.1183853149414,93.06845092773438
2015-03-04,99.73213195800781,93.09786224365234
2015-03-05,99.9068603515625,92.98011016845703
2015-03-06,98.7757568359375,90.9260025024414
2015-03-09,99.06083679199219,91.76528930664062
2015-03-10,97.22158813476562,92.97273254394531
2015-03-11,96.66063690185547,93.6500473022461
2015-03-12,97.29517364501953,93.58384704589844
2015-03-13,96.87213897705078,93.29670715332031
2015-03-16,98.12281036376953,94.19490814208984
2015-03-17,98.27916717529297,94.97533416748047
2015-03-18,99.24473571777344,96.80855560302734
2015-03-19,99.39187622070312,96.3153305053711
2015-03-20,100.03526306152344,96.82323455810547
2015-03-23,99.84166717529297,96.70550537109375
2015-03-24,99.48221588134766,97.64053344726562
2015-03-25,97.20553588867188,96.81591796875
2015-03-26,96.87371826171875,95.306640625
2015-03-27,97.2608413696289,96.49198913574219
2015-03-30,98.37613677978516,96.01345825195312
2015-03-31,97.3345947265625,96.21958923339844
2015-04-01,96.82762145996094,97.48333740234375
2015-04-02,96.89215087890625,96.4504623413086
2015-04-06,97.68484497070312,95.91193389892578
2015-04-07,97.51892852783203,96.71611022949219
2015-04-08,98.29317474365234,96.74559020996094
2015-04-09,98.91075897216797,95.49137878417969
2015-04-10,99.31629943847656,95.63148498535156
2015-04-13,99.06744384765625,95.76441955566406
2015-04-14,98.78170013427734,96.44315338134766
2015-04-15,99.39924621582031,96.3619613647461
2015-04-16,99.26099395751953,95.88243103027344
2015-04-17,97.71247100830078,96.98171997070312
2015-04-20,99.17803955078125,96.12589263916016
2015-04-21,99.60204315185547,95.6905288696289
2015-04-22,100.14584350585938,94.22978210449219
2015-04-23,100.52375030517578,94.63556671142578
2015-04-24,101.88793182373047,95.22579956054688
2015-04-27,101.62986755371094,95.22579956054688
2015-04-28,101.42705535888672,93.91248321533203
2015-04-29,100.79106140136719,92.76158905029297
2015-04-30,99.20569610595703,92.92389678955078
2015-05-01,100.51454162597656,91.6729965209961
2015-05-04,100.6804428100586,90.8080062866211
2015-05-05,99.0397720336914,90.6823501586914
2015-05-06,98.35769653320312,89.12977600097656
2015-05-07,98.94762420654297,90.32746124267578
2015-05-08,100.18273162841797,90.57145690917969
2015-05-11,99.79560852050781,88.36834716796875
2015-05-12,99.34394073486328,88.59756469726562
2015-05-13,99.54672241210938,87.88780212402344
2015-05-14,101.00306701660156,88.12437438964844
2015-05-15,101.00306701660156,89.89128875732422
2015-05-18,101.44548797607422,88.38313293457031
2015-05-19,101.33487701416016,87.59943389892578
2015-05-20,101.39942169189453,87.74726867675781
2015-05-21,101.92479705810547,88.97453308105469
2015-05-22,101.8233871459961,89.01152038574219
2015-05-26,100.65281677246094,90.53450012207031
2015-05-27,102.27503967285156,90.74151611328125
2015-05-28,102.04463958740234,90.51972961425781
2015-05-29,101.4362564086914,90.71929931640625
2015-06-01,101.77731323242188,89.74424743652344
2015-06-02,101.4547119140625,88.4922103881836
2015-06-03,101.75888061523438,87.06967163085938
2015-06-04,100.98461151123047,88.20323181152344
2015-06-05,100.74494934082031,87.12897491455078
2015-06-08,99.72187805175781,87.0326156616211
2015-06-09,99.55595397949219,86.3436050415039
2015-06-10,100.92011260986328,85.5878677368164
2015-06-11,101.06758880615234,87.38825988769531
2015-06-12,100.238037109375,87.38825988769531
2015-06-15,99.74031066894531,87.52902221679688
2015-06-16,100.28412628173828,88.21806335449219
2015-06-17,100.56062316894531,87.53638458251953
2015-06-18,102.02618408203125,87.10672760009766
2015-06-19,101.5217514038086,88.2254638671875
2015-06-22,102.27007293701172,86.42506408691406
2015-06-23,102.35322570800781,85.90646362304688
2015-06-24,101.82664489746094,86.64734649658203
2015-06-25,101.62340545654297,86.3436050415039
2015-06-26,100.94895935058594,85.373046875
2015-06-29,98.56546020507812,87.63275146484375
2015-06-30,98.91649627685547,87.02521514892578
2015-07-01,99.70176696777344,85.85055541992188
2015-07-02,99.72949981689453,86.1326904296875
2015-07-06,99.49851989746094,87.7291488647461
2015-07-07,99.74797058105469,88.55335235595703
2015-07-08,98.01112365722656,89.31810760498047
2015-07-09,97.95573425292969,87.55835723876953
2015-07-10,99.45234680175781,86.16980743408203
2015-07-13,101.19842529296875,85.90249633789062
2015-07-14,101.86360168457031,86.1846923828125
2015-07-15,101.97445678710938,87.09795379638672
2015-07-16,103.41565704345703,87.69940185546875
2015-07-17,104.93998718261719,88.15235900878906
2015-07-20,105.30030822753906,87.78108978271484
2015-07-21,105.23564910888672,88.25630187988281
2015-07-22,104.04386901855469,88.80579376220703
2015-07-23,103.65584564208984,89.91217041015625
2015-07-24,102.63961791992188,90.1348648071289
2015-07-27,101.78966522216797,90.6175537109375
2015-07-28,102.6673355102539,89.9566879272461
2015-07-29,103.05536651611328,89.62254333496094
2015-07-30,103.54499816894531,90.31309509277344
2015-07-31,103.42488861083984,90.9813461303711
2015-08-03,103.1015625,91.93913269042969
2015-08-04,102.90751647949219,91.20984649658203
